"id-système (xml:c/@id) ";"cote (xml:unitid) ";"unittitle ";"unitdate ";" date-normalisee ";"extent ";"dimensions ";"première image";"dernière image";"Lien première image";"Lien dernière image"
"c-c5p4i535y--d1yek3rtbd7t ";"AG/5(1)/1052, AG//SPH/17 ";"Reportage n° 1224 / Passation des pouvoirs. ";"8 janvier 1959 ";" 1959-01-08 ";"17 négatifs et positifs ";"6 x 6 cm et 9 x 12 cm ";"FRAN_0158_0001_L.jpg";"FRAN_0158_0017_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0001_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0017_L.jpg "
"c-c72aoe3dm-12j2ay2kf1g4y ";;"Reportage n° 1225 / Reportage vacant [Passation des pouvoirs] : négatif manquant. ";;"  ";;;"no link ";" ";;
"c-c7bnaoirt--13yr9anibqxb0 ";"AG//SPH/17 ";"Reportage n° 1226 / Présentation du Gouvernement Michel Debré. ";"13 janvier 1959 ";" 1959-01-13 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0018_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0018_L.jpg ";
"c-c7txsi62b--1kl7jpt4nmwor ";;"Reportage n° 1227 / Reportage vacant. ";;"  ";;;"no link ";" ";;
"c-c82vsgmpu-zzn2lftsofcm ";"AG//SPH/17 ";"Reportage n° 1228 / Remise des lettres de créance de Rafaël Espaillat de La Mota, ambassadeur de la République dominicaine en France. ";"22 décembre 1958 ";" 1958-12-22 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_0019_L.jpg";"FRAN_0158_0021_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0019_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0021_L.jpg "
"c-c8mcv0aei-unpp0ecdqvdo ";"AG//SPH/17 ";"Reportage n° 1229 / Présentation et réception du corps diplomatique. ";"22 janvier 1959 ";" 1959-01-22 ";"2 négatifs ";"24 x 36 cm ";"FRAN_0158_0022_L.jpg";"FRAN_0158_0023_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0022_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0023_L.jpg "
"c-c96nwrvkx--95ij63ot5a1x ";"AG//SPH/17 ";"Reportage n° 1230 / Remise des insignes de grand officier de la Légion d'honneur à Léon Noël, président du Conseil constitutionnel. ";"31 janvier 1959 ";" 1959-01-31 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0024_L.jpg";"FRAN_0158_0025_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0024_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0025_L.jpg "
"c-c9oz34m3c-tvsw1ybetljh ";"AG//SPH/17 ";"Reportage n° 1231 / Remise des lettres de créance par Abdellatif Ben Jelloun, ambassadeur du Maroc en France. ";"21 février 1959 ";" 1959-02-21 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0026_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0026_L.jpg ";
"c-ca5qhycbt-1ivtjaa41t4it ";"AG//SPH/17 ";"Reportage n° 1232 / Remise des lettres de créance par Nabi Youla, ambassadeur de Guinée en France. ";"24 février 1959 ";" 1959-02-24 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0027_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0027_L.jpg ";
"c-cal55mqkr-14gojjvxqk7ex ";"AG//SPH/17 ";"Reportage n° 1233 / Réception en l'honneur du corps diplomatique. ";"24 février 1959 ";" 1959-02-24 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0028_L.jpg";"FRAN_0158_0029_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0028_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0029_L.jpg "
"c-cb4co4gzh-kmqyj72cmwdn ";;"Reportage n° 1234 / Reportage vacant. ";;"  ";;;"no link ";" ";;
"c-cb9r835sp--x3zrix2va1vu ";"AG//SPH/17 ";"Reportage n° 1235 / Remise des lettres de créance par Antonio de Faria, ambassadeur du Portugal en France. ";"12 mars 1959 ";" 1959-03-12 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0030_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0030_L.jpg ";
"c-cbp31mhij-11aqhz98wbnvr ";"AG//SPH/17 ";"Reportage n° 1236 / Remise d'un bronze au général de Gaulle par le général Edgard de Larminat et une délégation des Forces françaises libres [FFL]. ";"14 mars 1959 ";" 1959-03-14 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0031_L.jpg";"FRAN_0158_0032_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0031_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0032_L.jpg "
"c-cc5hcp8bj-v07lgr12szm7 ";"AG//SPH/17 ";"Reportage n° 1237 / Conférence de presse du général de Gaulle consacrée à la politique étrangère. ";"25 mars 1959 ";" 1959-03-25 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0033_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0033_L.jpg ";
"c-cclavubsy-1x5zt9kzxsmov ";"AG//SPH/17 ";"Reportage n° 1238 / Présentation au général de Gaulle du président et du bureau du conseil municipal de Paris. ";"27 mars 1959 ";" 1959-03-27 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0034_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0034_L.jpg ";
"c-cd0c5vom5--1bsmy950be0gp ";"AG//SPH/17 ";"Reportage n° 1239 / Remise des lettres de créance par Ronald E. Walker, ambassadeur d'Australie en France. ";"4 avril 1959 ";" 1959-04-04 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0035_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0035_L.jpg ";
"c-cdf3oiq6t-ynb85ryv221v ";"AG//SPH/17 ";"Reportage n° 1240 / Reproductions du ""Journal officiel"" du 27 juillet 1919 [loi du 24 juillet 1919 dite loi Astier portant organisation de l’enseignement technique industriel et commercial]. ";"14 avril 1959 ";" 1959-04-14 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_0036_L.jpg";"FRAN_0158_0040_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0036_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0040_L.jpg "
"c-cdyg4ik7d-1e3y4c5qztics ";"AG//SPH/17 ";"Reportage n° 1241 / Réception par le général de Gaulle des membres de l'expédition française en Terre Adélie. ";"20 avril 1959 ";" 1959-04-20 ";"9 négatifs ";"6 x 6 cm ";"FRAN_0158_0041_L.jpg";"FRAN_0158_0049_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0041_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0049_L.jpg "
"c-cefndpaqh-srevynkx99ih ";"AG//SPH/17 ";"Reportage n° 1242 / Remise des insignes de commandeur de la Légion d'honneur à Jacques Lacroix. ";"24 avril 1959 ";" 1959-04-24 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0053_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0053_L.jpg ";
"c-ceuleoi2x-l0cnofu37cbo ";"AG//SPH/17 ";"Reportage n° 1243 / Déjeuner offert en l'honneur d’Elisabeth, reine mère d'Angleterre. ";"27 avril 1959 ";" 1959-04-27 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_0050_L.jpg";"FRAN_0158_0052_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0050_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0052_L.jpg "
"c-cffrqe23v--184pikeerd415 ";"AG//SPH/17 ";"Reportage n° 1244 / Remise du muguet traditionnel au général de Gaulle par une délégation des Forts des Halles. ";"1er mai 1959 ";" 1959-05-01 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0054_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0054_L.jpg ";
"c-cfu3mnzka-1gdvkrulluxgc ";"AG//SPH/17 ";"Reportage n° 1245 / Déjeuner en l'honneur de Norodom Sihanouk, roi du Cambodge. ";"21 mai 1959 ";" 1959-05-21 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0055_L.jpg";"FRAN_0158_0056_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0055_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0056_L.jpg "
"c-cgbnbn6ks-x0x2xxx7q2yw ";"AG//SPH/17 ";"Reportage n° 1246 / Remise des lettres de créance par le baron Marcel-Henri Jaspar, ambassadeur de Belgique en France. ";"22 mai 1959 ";" 1959-05-22 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0057_L.jpg";"FRAN_0158_0058_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0057_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0058_L.jpg "
"c-ch3f8qsmz--w0fa86nm4aqb ";"AG//SPH/17 ";"Reportage n° 1247 / Remise des lettres de créance par Victor Khouri, ambassadeur du Liban en France. ";"22 mai 1959 ";" 1959-05-22 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0059_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0059_L.jpg ";
"c-chn81516d--1o9thz5ho8lce ";"AG//SPH/17 ";"Reportage n° 1248 / Déjeuner en l'honneur de Paul Méouchy, patriarche maronite d’Antioche et de l’Orient. ";"25 mai 1959 ";" 1959-05-25 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0060_L.jpg";"FRAN_0158_0061_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0060_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0061_L.jpg "
"c-ci4m9w860-ij9p0wlwrji4 ";"AG//SPH/17 ";"Reportage n° 1249 / Déjeuner en l'honneur de Mohammad Reza Pahlavi, shah d'Iran. ";"26 mai 1959 ";" 1959-05-26 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0062_L.jpg";"FRAN_0158_0065_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0062_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0065_L.jpg "
"c-cio7699dk--93w7m8thanev ";"AG//SPH/17 ";"Reportage n° 1250 / Garden-party en l'honneur de l'Assemblée nationale. ";"28 mai 1959 ";" 1959-05-28 ";"8 négatifs ";"6 x 6 cm ";"FRAN_0158_0066_L.jpg";"FRAN_0158_0073_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0066_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0073_L.jpg "
"c-cj4unrsbg-jlm5djyuqrf7 ";"AG//SPH/17 ";"Reportage n° 1251 / Réception en l’honneur d’une délégation du Conseil des vallées d'Andorre. ";"29 mai 1959 ";" 1959-05-29 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0074_L.jpg";"FRAN_0158_0075_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0074_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0075_L.jpg "
"c-cjk987w1b--1c5segg9aarm3 ";"AG//SPH/17 ";"Reportage n° 1252 / Réception d’une délégation de mères de famille nombreuse. ";"30 mai 1959 ";" 1959-05-30 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0076_L.jpg";"FRAN_0158_0077_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0076_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0077_L.jpg "
"c-ck0jf79bl--113c9jk7ex374 ";"AG//SPH/17 ";"Reportage n° 1253 / Signature du livre d'or de l’Élysée par Nasr El Haq Ali, vice-chancelier de l'université de Kairouan. ";"30 mai 1959 ";" 1959-05-30 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0078_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0078_L.jpg ";
"c-ckfdi5sux--1g7460c0wl3dl ";"AG//SPH/17 ";"Reportage n° 1254 / Déjeuner en l'honneur de Moulay Hassan, prince héritier du Maroc. ";"2 juin 1959 ";" 1959-06-02 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_0079_L.jpg";"FRAN_0158_0083_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0079_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0083_L.jpg "
"c-ckvvcs73g-1dlj5v8kwckug ";"AG//SPH/17 ";"Reportage n° 1255 / Visite à l’École polytechnique. ";"9 juin 1959 ";" 1959-06-09 ";"6 négatifs ";"6 x 6 cm ";"FRAN_0158_0084_L.jpg";"FRAN_0158_0089_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0084_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0089_L.jpg "
"c-cld67gwg4-1w3mw009syemt ";"AG//SPH/17 ";"Reportage n° 1256 / Dîner en l'honneur du bureau du Sénat. ";"9 juin 1959 ";" 1959-06-09 ";"8 négatifs ";"6 x 6 cm ";"FRAN_0158_0090_L.jpg";"FRAN_0158_0097_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0090_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0097_L.jpg "
"c-clvl9ajr0-1is8v2cnwtys ";"AG//SPH/17 ";"Reportage n° 1257 / Garden-party en l'honneur du bureau du Sénat. ";"10 juin 1959 ";" 1959-06-10 ";"6 négatifs ";"6 x 6 cm ";"FRAN_0158_0098_L.jpg";"FRAN_0158_0103_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0098_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0103_L.jpg "
"c-cmhju58aa-z0sejgmu7p1s ";"AG//SPH/18 ";"Reportage n° 1258 / Remise des lettres de créance par Manuel Gran y Gilledo, ambassadeur de Cuba en France. ";"16 juin 1959 ";" 1959-06-16 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0104_L.jpg";"FRAN_0158_0105_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0104_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0105_L.jpg "
"c-cn09tv1vr--jistztctxod0 ";"AG//SPH/18 ";"Reportage n° 1259 / Remise des lettres de créance par le général Il Kwon Chung, ambassadeur de Corée en France. ";"16 juin 1959 ";" 1959-06-16 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_0106_L.jpg";"FRAN_0158_0108_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0106_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0108_L.jpg "
"c-cnhs6fomr-19a9rh78gc6tr ";"AG/5(1)/1052 ";"Reportage n° 1260 / Remise des lettres de créance par John Ernest Jantuah, ambassadeur du Ghana en France. ";"16 juin 1959 ";" 1959-06-16 ";"3 positifs ";"6 x 6 cm ";"FRAN_0158_0109_L.jpg";"FRAN_0158_0111_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0109_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0111_L.jpg "
"c-cnxc8n267-cjetn928oyk5 ";"AG//SPH/18 ";"Reportage n° 1261 / Remise des lettres de créance par Nedyam Raghavan, ambassadeur de l'Inde en France. ";"16 juin 1959 ";" 1959-06-16 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0112_L.jpg";"FRAN_0158_0115_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0112_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0115_L.jpg "
"c-cod6twwix-1xy4t6g6hq4nk ";"AG//SPH/18 ";"Reportage n° 1262 / Déjeuner en l'honneur de Robert Menzies, Premier ministre d'Australie. ";"19 juin 1959 ";" 1959-06-19 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0116_L.jpg";"FRAN_0158_0117_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0116_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0117_L.jpg "
"c-cosq4iqvp--bpj0wyh5e7mc ";"AG//SPH/18 ";"Reportage n° 1263 / Déjeuner en l'honneur de Sarah Kubitschek de Oliveira, épouse du président de la République du Brésil. ";"20 juin 1959 ";" 1959-06-20 ";"1 négatif ";"6 x 6 cm ";"FRAN_0158_0118_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0118_L.jpg ";
"c-cpadkk3r1--11djyv02fyqnd ";"AG//SPH/18 ";"Reportage n° 1264 / Réception au palais de l’Élysée pour la Fête nationale. ";"14 juillet 1959 ";" 1959-07-14 ";"7 négatifs ";"6 x 6 cm ";"FRAN_0158_0119_L.jpg";"FRAN_0158_0125_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0119_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0125_L.jpg "
"c-cptombqre-1wruffer2hosf ";"AG//SPH/18 ";"Reportage n° 1265 / Audience de Haïlé Sélassié Ier, empereur d’Éthiopie. ";"20-22 juillet 1959 ";" 0020-01-01/1959-07-22 ";"17 négatifs ";"6 x 6 cm ";"FRAN_0158_0126_L.jpg";"FRAN_0158_0142_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0126_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0142_L.jpg "
"c-cqc8esq1i--1hgp8y0gb6tsv ";"AG//SPH/18 ";"Reportage n° 1266 / Remise des lettres de créance par le colonel Luis Urrutia de Leon, ambassadeur du Guatemala en France. ";"25 juillet 1959 ";" 1959-07-25 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0143_L.jpg";"FRAN_0158_0144_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0143_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0144_L.jpg "
"c-cqscko3ya--184uxyk0eo5pb ";"AG//SPH/18 ";"Reportage n° 1267 / Remise des lettres de créance par Sao Boonwatt, ministre de Birmanie en France. ";"25 juillet 1959 ";" 1959-07-25 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0145_L.jpg";"FRAN_0158_0146_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0145_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0146_L.jpg "
"c-cr8nm0uja-8mzv7grz82ko ";"AG//SPH/18 ";"Reportage n° 1268 / Remise de la cravate de commandeur de la Légion d'honneur à Jacques Chaban-Delmas, président de l'Assemblée nationale. ";"30 juillet 1959 ";" 1959-07-30 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0147_L.jpg";"FRAN_0158_0150_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0147_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0150_L.jpg "
"c-crq2jaxhh--lh5fxyu4u3ze ";"AG//SPH/18 ";"Reportage n° 1269 / Déjeuner en l'honneur de Dag Hammarskjöld, secrétaire général de l’Organisation des Nations unies [ONU]. ";"31 juillet 1959 ";" 1959-07-31 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0151_L.jpg";"FRAN_0158_0152_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0151_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0152_L.jpg "
"c-cs87h5qvx-bonp8pav2opa ";"AG//SPH/18 ";"Reportage n° 1270 / Voyage en France de Dwight David Eisenhower, président des États-Unis. ";"2-4 septembre 1959 ";" 0002-01-01/1959-09-04 ";"23 négatifs ";"6 x 6 cm ";"FRAN_0158_0153_L.jpg";"FRAN_0158_0175_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0153_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0175_L.jpg "
"c-csottbinr--ewmirfi9chdw ";"AG//SPH/18 ";"Reportage n° 1271 / Déjeuner au château de Rambouillet en l’honneur d’Antonio Segni, président du Conseil italien. ";"4 septembre 1959 ";" 1959-09-04 ";"7 négatifs ";"6 x 6 cm ";"FRAN_0158_0176_L.jpg";"FRAN_0158_0182_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0176_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0182_L.jpg "
"c-ct6tsw2ku--ividv229iqnm ";"AG//SPH/18 ";"Reportage n° 1272 / Cadeau offert par Brigitte Dacko, épouse du président de la République centrafricaine, à Yvonne de Gaulle. ";"11 septembre 1959 ";" 1959-09-11 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0186_L.jpg";"FRAN_0158_0187_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0186_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0187_L.jpg "
"c-ctq6aaert-q5l5k6le4jo5 ";"AG//SPH/18 ";"Reportage n° 1273 / 5e session du Conseil exécutif de la Communauté. ";"11 septembre 1959 ";" 1959-09-11 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_0183_L.jpg";"FRAN_0158_0185_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0183_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0185_L.jpg "
"c-cu7sn8y0t--b8i1uget58jk ";"AG//SPH/18 ";"Reportage n° 1274 / Remise des lettres de créance par Carlos Morla Lynch, ambassadeur du Chili en France. ";"12 septembre 1959 ";" 1959-09-12 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0193_L.jpg";"FRAN_0158_0194_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0193_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0194_L.jpg "
"c-cuozu49jf-1k20cchx6de74 ";"AG//SPH/18 ";"Reportage n° 1275 / Remise des lettres de créance par Tunku Ismaïl Yahaya, ambassadeur de Malaisie en France. ";"12 septembre 1959 ";" 1959-09-12 ";"2 négatifs ";"6 x 6 cm ";"FRAN_0158_0195_L.jpg";"FRAN_0158_0196_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0195_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0196_L.jpg "
"c-cv6zugitz--a3qesbr37qjm ";"AG//SPH/18 ";"Reportage n° 1276 / Remise par le général de Gaulle de la croix de la Libération à Georges Bidault, ancien président du Conseil, député de la Loire. ";"12 septembre 1959 ";" 1959-09-12 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0189_L.jpg";"FRAN_0158_0192_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0189_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0192_L.jpg "
"c-cvntnldh8-tkozsj8x2x2b ";"AG/5(1)/1052, AG//SPH/18-AG//SPH/19 ";"Reportage n° 1277 / Allocution radiodiffusée et télévisée du général de Gaulle, prononcée à l’Élysée, où il affirme que sa politique à l’égard de l’Algérie est fondée sur le principe de l’autodétermination. ";"16 septembre 1959 ";" 1959-09-16 ";"1 positif et 8 négatifs ";"6 x 6 cm ";"FRAN_0158_0197_L.jpg";"FRAN_0158_0205_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0197_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0205_L.jpg "
"c-cw8wnrvnw-m19n36iqtx1o ";"AG/5(1)/1052 ";"Reportage n° 1278 / Reproduction de l'autorail RGP [rames pour relations à grands parcours] avec remorque. ";"Septembre 1959 ";" 1959-09-01/1959-09-30 ";"1 positif ";"9 x 12 cm ";"FRAN_0158_0188_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0188_L.jpg ";
"c-cwqrpi3pg--4io55uyzpj19 ";"AG//SPH/19 ";"Reportage n° 1279 / Remise des insignes de grand croix de la Légion d’honneur par le général de Gaulle au professeur Louis Pasteur-Vallery-Radot, professeur de médecine. ";"1er octobre 1959 ";" 1959-10-01 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0206_L.jpg";"FRAN_0158_0209_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0206_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0209_L.jpg "
"c-cx7e9jpg7--1m4zjywcjwa1q ";"AG//SPH/19 ";"Reportage n° 1280 / Remise à René Cassin, vice-président du Conseil d’État, des insignes de grand croix de la Légion d'honneur. ";"6 octobre 1959 ";" 1959-10-06 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_0210_L.jpg";"FRAN_0158_0213_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0210_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_0213_L.jpg "
